Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.965894808,27.90489197,0.491454315,0.891613009,0.341988358,1
0.961514611,14.53045146,0.771723031,0.825522302,0.607077206,1
0.884328315,46.98961385,0.397138917,0.835544215,1.384757966,1
0.929070105,36.58661397,0.412833764,0.83831329,0.899571078,1
0.956830612,24.99488831,0.664921426,0.941673882,0.327542892,1
0.893921477,49.94270325,0.383607848,0.8860066,1.012040441,1
0.972440294,12.35804749,0.733706251,0.904536776,0.159068627,1
0.978158373,10.45277405,0.798201889,0.900275167,0.185401348,1
0.976789726,33.9776357,0.455855548,0.960751568,0.135232843,0
0.96922309,43.00613403,0.461530518,0.950193972,0.282996324,0
0.976852314,28.37131755,0.479628652,0.95860795,0.101685049,0
0.972216295,14.86935425,0.685697449,0.904333783,0.206219363,0
0.974323719,30.73660278,0.467148204,0.955664487,0.12745098,0
0.974220537,22.03697713,0.604489714,0.945384665,0.136887255,0
0.971119536,24.73670959,0.558264748,0.946499983,0.142892157,0
0.979372702,25.5864563,0.574949321,0.959656301,0.121875,0
0.96761044,20.42939758,0.628953556,0.922125262,0.26317402,0
0.971408803,23.36631775,0.518041014,0.936546954,0.128262868,0
0.969443679,22.61064657,0.512413712,0.929113964,0.128431373,0
0.9672572,26.0507609,0.46732985,0.931308708,0.143443627,0
0.966568153,21.71395365,0.52857229,0.929165563,0.116881127,0
0.966382178,21.8197581,0.525386914,0.92729259,0.119822304,0
0.955645425,25.0900472,0.468852019,0.919522254,0.157199755,0
0.959313725,24.32569885,0.491159529,0.919141429,0.163817402,0
0.960305862,24.10712179,0.494420523,0.916386164,0.168014706,0
0.957817096,26.28481547,0.462961775,0.911496287,0.189154412,0
0.969371681,26.82000224,0.555900144,0.940567412,0.170511642,0
0.972542892,27.79506429,0.449840478,0.948965445,0.125199142,0
0.966208567,38.53873698,0.375521257,0.943254781,0.179840686,0
0.975634957,21.94960022,0.51485923,0.937916434,0.100520833,0
0.975505661,22.35420736,0.508952448,0.938031498,0.101685049,0
0.962822202,24.60846456,0.543939721,0.927536266,0.171966912,0
0.962617953,24.60690816,0.543882213,0.929072462,0.166819853,0
0.977404514,33.51172892,0.461026772,0.961767042,0.129626225,0
0.97076243,42.31729126,0.466879048,0.954063409,0.25971201,0
0.976314229,28.44471741,0.473971227,0.958383841,0.101348039,0
0.976049071,28.41641744,0.471736428,0.95554094,0.106219363,0
0.974873913,29.8396759,0.474902867,0.955284622,0.124172794,0
0.961952979,19.09770711,0.607647333,0.890067603,0.256954657,0
0.970986009,24.99194845,0.559731191,0.945131802,0.150704657,0
0.977104561,22.98196411,0.590241371,0.943401244,0.151776961,0
0.975294118,32.28400167,0.462592823,0.956223777,0.132628676,0
0.969765625,25.35067749,0.488105299,0.93661607,0.135294118,0
